0,21,5579769832572,140.166
1,22,5579774343572,162.964
2,23,5579781399673,164.231
3,24,5579791168573,163.324
4,0,5579796611573,171.796
5,1,5579801769773,166.772
6,2,5579815542073,165.731
7,3,5579820787073,165.388
8,4,5579837992374,163.299
9,5,5579851691474,153.785
10,6,5579862096774,157.338
11,7,5579879529574,144.988
12,8,5579903806675,131.884
13,9,5579917272175,125.020
14,10,5579935300375,120.817
15,11,5579940611576,119.533
16,12,5579959781976,103.607
17,13,5579968627076,105.018
18,14,5579974008676,103.841
19,15,5579976885876,106.405
20,16,5579994749477,97.719
21,17,5579998015977,98.895
22,18,5580002747677,99.516
23,19,5580003598277,114.247
24,20,5580004588677,113.279
25,21,5580005692677,115.858
26,22,5580012941277,112.246
27,23,5580021920677,110.879
28,24,5580033468977,104.023
29,0,5580037721577,109.588
30,1,5580052023878,100.061
31,2,5580056715878,100.818
32,3,5580067746178,92.973
33,4,5580092153478,73.675
34,5,5580101712478,68.584
35,6,5580117485979,62.637
36,7,5580119433479,69.201
37,8,5580120497379,89.183
38,9,5580134738579,86.545
39,10,5580143441479,85.706
40,11,5580147710179,86.707
41,12,5580158297680,82.685
42,13,5580166320380,80.000
43,14,5580188824180,62.089
44,15,5580202893680,54.113
45,16,5580212230081,49.113
46,17,5580214849281,50.403
47,18,5580224665881,47.926
48,19,5580230486881,48.938
49,20,5580235148681,49.058
50,21,5580248475081,47.785
51,22,5580257865981,41.049
52,23,5580266652982,37.147
53,24,5580279708582,32.625
54,0,5580290145682,26.370
55,1,5580299023782,22.985
56,2,5580314364082,14.065
57,3,5580316134582,17.867
58,4,5580326836983,12.362
59,5,5580342713783,8.611
60,6,5580346437983,8.687
61,7,5580358212583,17.739
62,8,5580369944783,13.700
63,9,5580378478984,15.609
64,10,5580390886584,15.366
65,11,5580405354684,11.950
66,12,5580408671484,11.911
67,13,5580419847584,13.510
68,14,5580428143284,11.265
69,15,5580438990485,12.661
70,16,5580449174885,20.651
71,17,5580462780985,17.145
72,18,5580472341085,18.612
73,19,5580479552285,17.213
74,20,5580491841086,21.901
75,21,5580504606586,13.801
76,22,5580509953686,21.611
77,23,5580524507786,22.271
78,24,5580531154286,20.966
79,0,5580536918286,20.894
80,1,5580546477887,22.070
81,2,5580558009087,15.219
82,3,5580566639087,11.820
83,4,5580576682387,14.115
84,5,5580588527287,5.389
85,6,5580599280288,10.533
86,7,5580606382388,11.280
87,8,5580616748688,8.918
88,9,5580627959288,5.781
89,10,5580635866488,7.499
90,11,5580645491588,3.781
91,12,5580655073889,4.107
92,13,5580667574589,4.371
93,14,5580677181489,7.440
94,15,5580686396789,6.309
95,16,5580695342089,3.506
96,17,5580705853790,4.302
97,18,5580715718290,8.002
98,19,5580725550290,4.401
99,20,5580737291190,6.121
100,21,5580745900390,6.243
101,22,5580756384690,7.389
102,23,5580770526291,8.337
103,24,5580778862491,9.555
104,0,5580786911091,4.928
105,1,5580798373991,6.012
106,2,5580806568291,6.361
107,3,5580817567892,3.050
108,4,5580827813892,5.909
109,5,5580835954692,7.348
110,6,5580846100392,6.191
111,7,5580857044892,4.589
112,8,5580866158693,5.841
113,9,5580880963793,6.372
114,10,5580886194693,12.118
115,11,5580896109493,5.187
116,12,5580907629193,11.892
117,13,5580918636893,11.394
118,14,5580929425994,11.833
119,15,5580936509094,10.108
120,16,5580946470794,17.797
121,17,5580962392394,19.519
122,18,5580973124694,10.675
