0,17,769241357472,25.736
1,18,769262990272,24.172
2,19,769283100772,21.562
3,20,769301463573,12.968
4,21,769320225573,17.366
5,22,769342571073,11.840
6,23,769361973173,12.075
7,24,769382101373,12.465
8,0,769402749474,12.084
9,1,769424822274,15.690
10,2,769444223974,13.241
11,3,769463251674,13.939
12,4,769482021374,14.366
13,5,769504435775,13.160
14,6,769523226775,13.586
15,7,769541408075,13.462
16,8,769562470475,12.725
17,9,769582328375,14.094
18,10,769603119176,11.557
19,11,769622010876,12.413
20,12,769642361076,12.320
21,13,769662564576,12.201
22,14,769682661677,13.615
23,15,769701179377,16.268
24,16,769723378777,13.177
25,17,769741066277,12.362
26,18,769762497877,14.157
27,19,769781853878,12.955
28,20,769803795279,17.184
29,21,769822380979,15.995
30,22,769842635580,14.395
31,23,769861862580,14.863
32,24,769883800781,12.635
33,0,769901125981,16.968
34,1,769923577582,14.482
35,2,769943614883,13.884
36,3,769963641083,13.654
37,4,769983505584,13.302
38,5,770003367284,14.697
39,6,770021152685,14.152
40,7,770043474186,12.798
41,8,770062114186,13.740
42,9,770083179587,13.488
43,10,770104233087,13.883
44,11,770123508688,13.553
45,12,770142094688,14.581
46,13,770163635189,14.008
47,14,770183497190,13.620
48,15,770203452690,15.836
49,16,770224946991,14.503
50,17,770241870891,15.285
51,18,770263906092,13.759
52,19,770283701392,12.472
53,20,770303171493,11.857
54,21,770323657494,12.323
55,22,770341895494,13.813
56,23,770362678995,12.615
57,24,770382243295,15.733
58,0,770402371796,14.768
59,1,770424688397,13.861
60,2,770442607797,13.856
61,3,770462441298,16.463
62,4,770486503498,15.719
63,5,770503184399,17.143
64,6,770525826400,16.794
65,7,770546173200,16.883
66,8,770566327701,18.009
67,9,770586339101,18.225
68,10,770605930102,18.022
69,11,770625980402,15.550
70,12,770643917603,15.851
71,13,770666343104,28.351
72,14,770692554604,17.606
73,15,770705060605,17.725
74,16,770726413905,16.662
75,17,770746814706,14.527
76,18,770766731607,16.426
77,19,770787811307,32.530
